Tweet,Sentiment
"USER Jangan biarkan Pemprov DKI bekerja sendiri, mari kita dukung dan ikut membantu Pemprov dalam melawan cukong, aseng, asing dan para koruptor.\n\nBersatu kita teguh, Pemprov DKI bersama warga DKI Jakarta melawan cukong, aseng, asing, dan para k",Positive
"KERJA DIKTATOR JOKOWI ITU GUNTING PITA, BAGI-BAGI BERMACAM SERTIFIKAT IKUT MACAM-MACAM UPACARA DAN BUKAN MEMENUHI JANJINYA.",Positive
Orang punya saksi anjing dikasus babi.. Tolol URL,Negative
Nahdliyin Minta Setop Penghinaan Terhadap Maruf Amin,Positive
"USER USER USER ane kasih tau ya.. yg bunuh yesus itu yahudi bukan muslim, knp kristen jadi benci muslim? muslim menghormati yesus sbg Nabi, penganut agama yg lain seperti budha, hindu, dll bahkan gak mengakui yesus sbg apapun, k",Positive
"USER USER selain harus suara yg bagus, apkah prnampilan dan wajah yg cantik/ganteng yg bkalan dipilih lolos KDI ya, ap mngkin org yg punya cacat fisik ataupun brwajah kurang cantik gak bkalan dilirik mskipun suaranya baguss...?? #ObrolanEkz",Positive
Ekonomi Merosot Utang Bengkak BUMN Mau Dijual. Pak Jokowi Mundur SajaUSER - Chirpstory URL lewatUSER,Positive
dekalarasi pilkada 2018 aman dan anti hoax komunitas ojek jabon,Positive
USER Terus??\nAlus nya di puji. Butut nya disebut butut. Goblog disebut goblog.',Negative
Mabuk-ksbb-mrebesmili. Cupu!',Negative
Bagus. Nanti kalau gak terbukti bisa dilaporkan balik ini. USER jelas-jelas pembahasan panjang dipotong oleh Akbar Faizal. Bedakan fiksi dan fiktif saja gak bisa,Positive
USER Bacot x si aseng ini kan ki',Negative
RT USER Pak Anies n pak Sandi..... mana kerjamu? Wkwkwk blm apa-apa udah gw tagih.... mundurlah secara terhormat.,Positive
Semoga Allah segera menghancurleburkan kafir Budha teroris yang telah menzalimi kaum Muslim Rohingya.,Positive
USER GEBLEK NGUAKAK AKU ANJYR WKWKWKWWKKWKWKWKWK',Negative
"Tak salah pun pakai selipar dalam rumah\n\nYang salahnya, selipar tu lah kau bawak jalan keluar, selipar tu lah kau buat masuk jamban\n\nHaihh'",Positive
USER pengen ane emut emut say memek sexynyaa',Negative
"â??Pengembangan Industri 4.0 menjadi sebuah peluang signifikan bagi Indonesia dalam meningkatkan daya saing produk industri nasional di pasar globalâ?? Leonard Tampubolon, Deputi Bidang Ekonomi Bappenas #ReadyForIndustry4.0 #FMB9",Positive
USER USER USER USER USER USER Jejak masa lalu itulah yg akn mnjadi bumerang bg Indonesia utk bs d hormati dunia..; Saat ini Presiden USER tlh mngembalikan pamor Indonesia sbg Negara yg DISEGANI DUNIA.,Positive
RT USER Satu lgi buat 7 skolah yg di bakar ma kader ny prabowo hrus tanggung jawab,Positive
"[askmf] sedih gaksi waktu orang2 ngeledekin doi tentang kita gitu, dia jawab ""najis, bocah.""? :""('",Negative
"Luar Biasa!!! untuk mengawal pendistribusian pupuk tepat sasaran bagi para petani untuk Musim Tanam ke-2 dilaksanakan oleh BUMDes ""Bina Manfaat"" #Tlogorejo #Kepohbaru #Bojonegoro ; ; Rencanakan-Dirikan-Kembangkan; ; ""BUMDes Menopang Ekonomi Rakyat""; USER",Positive
RT USER: NAHLOH!! Netizen Menilai BUKAN Jonru Yang Merugikan RAKYAT Tapi Jokowi URL,Positive
USER Cebong mana ngerti',Negative
"Jika seseorang mengatakan kepadamu karena km terlalu serakah, sehingga dia selalu menyepelekan apa yang sedang km kerjakan dan tidak menghargai hasil kerja kita, padahal apa yang sudah kita kerjakan butuh waktu, ide, ketelitian, keterampilan dan itu semu",Positive
"USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.'",Positive
USER Ayo dah dukung penuh 1.000%; Yg jelas #2019GantiPresiden,Positive
RT USER: mesum ketahuan warga suruh lanjutin.. hahahaha \xf0\x9f\x98\x82\xf0\x9f\x98\x85 walaupun di kocok dan di emut tapi kontol nya puret gak bisa tegang..\xe2\x80\xa6',Negative
Keturunan cina rasis ini apa juga paham sejarah Indonesia ? Paling-paling tidak paham juga? -,Positive
"USER USER USER di dalam kristen tdk semuanya diatur dlm bible, itulah sebabnya manusia diciptakan dgn akal dan pikiran untuk membedakan mna yg baik dan buruk mna yg patut dan tdk patut, tdk tertulis dlm bible bukan berarti boleh dil",Positive
Semakin lama semakin terdedah \xe2\x80\x9cluka\xe2\x80\x9d dan \xe2\x80\x9ccacat\xe2\x80\x9d aku',Positive
"Jika kalian semua kesepian, kamu akan belajar betapa hangat nya memiliki teman-teman."" -Fairy Tai'",Positive
"USER nggak ada RUU yang sempurna sich, nanti lihat saja perkembangan nya, kalau masih terjadi bom lagi, artinya RUU tersebut masih kurang keras atau masih kurang represif, dan masih membuat ragu aparat nya,dan kalau sudah nggak terjadi berarti sudah",Positive
"USER Kalo di SMA dulu, kerjaan pas piket harus nyiapin perangkat kelas kek taplak meja, spidol, buku kemajuan kelas dll. Nah ini nih gaboleh ditinggal di kelas pas pulang, harus dibalikin ke loker di ruang piket, trs diambil lagi besok paginya.\n",Positive
Nih beneran admin akun resmi? ?? Coba donk pak USER kasih training dulu ttg ekonomi biar gak asal tweet. Admin goblok mempengaruhi citra partai loh ??,Negative
USER USER Anjing komunis penista Islam!!!',Negative
"6922.\nWedeeeh ini mah udah ky brother from another meki . HAHAHAHAHAH ngocol anjing ni anak g paham lg gua . Tiap"" chatan ketawa mulu gua dibuatnya ampe sakit perut . Baik banget, open minded, friendly, kocak, sampah, idiot, demen ngentot. Yg ada dipikirannya itu memek,memek mulu'",Negative
"USER USER Saya masih ingat dulu ada kelompok pelangi ; Kristen radikal, kaum sekuler dan komunis yg mencibir Habibie. \n\nJangan2 kelompok pelangi itu yang di kumpulin oleh siUSER.'",Positive
4 partai yg walkout adlh partai besar semua. Banteng nyungsep. Kunci ditangan Rakyat.Jgn nunggu smp2019 langsung lengserkan Jokowi. REVOLUSI,Positive
Aku setuju sekali... Langkah selanjutnya lengserkan Jokowi..haha,Positive
Gak ada yg bisa bantah photo ini membuktikan komunikasi yg sangat nyambung diantara 2 pemimpin....,Positive
himbauan untuk tola berita hoax dan siap mensukseskan pilkada diwilayah kota kediri:,Positive
"Lae Ferdinand, cocoknya jokowi di lengserkan di trotoar...jgn ditengah jalan..nanti diseruduk b2 lho",Positive
RT USER Ya intinye siapepun yang gak dukung wowo pasti di Cap PKI,Positive
"Alat transportasi yg cepat memungkinkan percepatan ekonomi yg cepat jg, krn zaman skrg semua butuh kecepatan dan ketelitian #HayuKaKertajati",Positive
Khofifah Indar Parawansa-Emil Dardak dan Saifullah Yusuf (Gus Ipul)-Puti Guntur Soekarno beradu gagasan serta program dalam debat pertama Pilkada Jatim yang diselenggarakan oleh KPUD Jawa Timur.,Positive
USER USER USER USER Jancuk \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',Negative
"Anggota DPR ini pamer DUNGU & BIADAB Islam, Quran merintahkan penggal kafir, dia laksanakan, dia bisa bilang HAM",Negative
"Sebenarnya saat ini PKS sedang mengalami dilema bagai buah simalakama. Mau ngajuin presiden sendiri ga bisa karena cuma punya 6% suara. Lagipula PKS tidak punya satupun kader yang baik, populer n dicintai rakyat yang punya peluang menang.",Positive
USER so sekolah agama manað???,Positive
"USER Jokowi gak pernah salah, bahkan harga telur naikpun ayamnya yg salah..\n\nUdah geleh sama rejim beginian..\nPengen cepet2 #2019GantiPresiden'",Positive
"Emang ada hukum kristen? Setau gw sih cuma ada 10 perintah Allah, dan gak ada hukuman bagi pelanggar dari pemuka agama yg berwenang...",Positive
"Anda yg ahli sejarah Islam atau pakar Islam, silahkan dibantah kebenaran informasi ini demi kebaikan bangsa & negara",Positive
"USER USER USER He..hee negeri ini butuh orang2 yg jujur dlm bekerja spt Rezim skrg ini. Bukan para pengikut kamu Bani Cabul &amp; kampret yg hanya bisa menghembuskan fitnah, hoax, provokasi &amp; kebencian \xf0\x9f\x98\x82'",Negative
orang indonesia itu dongo nya keliatan banget dijalanan. ga mau kasih jalan buat pemadam kebakaran. udah gitu masih pada manfaatin ambil jalur dibelakang pemadam. asli goblok semua. \xf0\x9f\x98\x91',Negative
USER Ccd si lu nya:(',Negative
Menjadi nakal atau sekalipun bajingan adalah sebuah proses perjalanan menuju kedewasaan yang penuh akan idealisme',Positive
Ya Allah signal axis geblek banget dah',Negative
.Jatim Anti Hoax. Anti ujaran kebencian dan SARA serta mendukung Pilkada Damai dari Kary Pt Wk di Tow Benowo Surabaya.,Positive
"Lengserkan tito.... Dah g beres kapolri masak buat sprti itu, semua yg berlawanan dgn ahok dan dek jokowi dikriminalisasi",Positive
USER Keren memek nya ya om hiu',Negative
"USER alhamdulillah, kirain asing hahaha kamu kuliah di mana?'",Positive
RT USER: Wasit goblog!!! Itu sah goal!!!',Negative
"Di Hadapan Ulama, Rommy Jelaskan Alasan PPP Dukung Jokowi",Positive
USER Yg memblow up jokowi itu adalah media media tv dan koran milik orang2 china yg notabene kafir semua.. coba aja cek dilapangan',Negative
"20. Jipepet ngeselin pisan anaknya. Baik kdang2, suka bener ama monyet. Cowonya segambreng caileh'",Negative
anjir apaan sih musisi asli kakean cocot',Negative
USER USER USER Bodat KOMUNIS piaraan CINA LOLENG kau',Negative
"USER Se-random-nya gue paling ""Yang, pengen ke gereja"" (padahal sama2 bukan kristen), ""Kalo nanti rambut kamu mulai botak kamu mau botakin sekalian atau mau pake obat penumbuh rambut?"", atau ""Yang cara kerja piston itu gimana?"". Kalo gue lg random",Positive
"Al Quran, Alkitab termasuk kitab suci, sdah saatnya pendukung siapa pun anda, membela kitab suci masing2 melawan orang ateis seperti Rocky ("",)",Positive
Dulu katanya jangan pilih pak prabowo beliau diktaktor otoriter. Kenyataan skrng pak jokowi yang diktaktor,Positive
USER Sendirinya juga sipit malah ngatain gua',Positive
"USER USER USER Topik pembicaraan CEBONG dan BANI HOAX itu loncat\xc2\xb2 ya..\n\nDari Prestasi BABIHOK apa? - gak dijawab. Malah ke Tanah Abang (TA). Dikasih contoh TA yg baik, malah minta\xc2\xb2 yg buruknya.'",Negative
Usir cina dri nkri Wni keturunan cina diskrening dulu,Positive
Alhamdulillah ikhtiar kita bersama untuk menjadikan Rinjani sebagai Geopark Dunia terwujud tahun ini.,Positive
"USER utk di panti kemudian tak bisa terlacak selamanya. Bahkan kalau ada bom, si bocah tetap tidur nyenyak \xf0\x9f\xa4\xa3'",Positive
"USER Dulu kawan, sekarang lawan...menyelematkan diri masing masing, kalian bajingan semua.'",Negative
USER Dia jjkp. Jomblo jablay kebelet pacaran.',Negative
USER Ohooo p mook juga penganut emot tuyul item\xf0\x9f\x98\x85\xe2\x80\x94 Bas kayanya hari ini ga bobo dehhh p',Positive
USER kamu cacad',Negative
USER Gak kak emak mah gak demen ama yang sipit wkwk',Positive
Nyolok headset ke hp ternyata ga kecolok dalem...\n\nKampret.\xf0\x9f\x98\x82\xf0\x9f\x98\x82',Negative
Bawaslu: Kolaka Tertinggi Pelanggaran ASN Dalam Pilkada,Positive
USER Kalo jilat si jokowi munafik baru boleh.. cebong pun pada mingkem',Negative
USER USER Hampir di seluruh geraja katolik lokal begitu',Positive
"USER Klo bani sebelah, krn otak nya tdk jln msh ngotot perusahaan suram ala Indosat utk dibeli.. Maklum, hidup hanya utk nasbung..'",Positive
USER Presiden Threshold adalah upaya rezim untuk mempertahankan kekuasaannya yg cenderung otoriter',Positive
USER Bener juga lu bangke',Negative
"RT USER: Siapapun yg mengelola perkara sistem tiket masuk ke Bromo,Tengger,Semeru ini emang biadab, idiot, pantek, jembat'",Negative
RT USER: #repost. Awalnya pamer otot. Terus pamer kontol. Ngocok deh sampe crottt. URL,Negative
Gerakan komunis yang sedang berlangsung di persembunyiannya apakabar kah ? #AntiJIL #AntiSyiah #AntiKomunis :) #KembalikanMediaIslam',Positive
RT USER: monyet bloon\xf0\x9f\x98\x82\n\nAhok ga bs tutup krn mmg ga ada bukti pelanggaran\n\nAnies nutup Alexis krn mmg izinnya sdh tdk diperpanjang tp t\xe2\x80\xa6',Negative
USER Sini aku jilatin sayang memek mu',Negative
"USER USER Nanti dulu !!!\nEmang anaknya Pepo bisa apa \xe2\x9d\x93 Nampang doang \xe2\x9d\x93\nMo dibawa kemana bangsa ini, mo jadiin foto model \xe2\x9d\x93\xe2\x9d\x93\n\nCebong aja urus, biar ga rewel gini !!\n\n\xf0\x9f\x90\xb8\xf0\x9",Negative
"\xe2\x80\xa2 Nam dan Shone film yang mengisahkan Nam si cewe kuper yg ngefans\ndengan Shone cowo ganteng nan populer melakukan segala cara agar bisa\ndeket sama Shone, salah satunya mengubah penampilan dari cewe culun\njadi cewe cantik'",Positive
"Dan orang"" yg ngga bisa berpikir lurus itu dipelihara Jokowi dalam berbagai organisasi. Kebayang ngga kacaunya Indonesia nanti? Duh!",Positive
USER USER Jablay emang lo ya',Negative
USER USER USER USER USER USER USER USER Barusan ulama sejabar menyatakan dukung USER 2019 ð???,Positive
"RT USER: Ayat \xe2\x80\x9cbossku\xe2\x80\x9d dengan \xe2\x80\x9cmaju lu sini, anjing\xe2\x80\x9d ni memang sedap diguna. Satu terlalu sopan, satu terlalu kurang ajar.'",Negative
"USER USER Bani kampret dungu,,, kontrak di stop,, lu sanggup gaji ribuan kariawan nya? Lu sanggup beli alat\xc2\xb2 super canggih untk gali emas dsana? Ujung\xc2\xb2 nya lu nyalah kan pemerintah lagi....'",Negative
USER USER USER trus Islam ga punya kitab suci?; kok logika lu jatuh ke palung jawa gitu modelnya; tau arti kata fiksi menurut kbbi belum?,Positive
Kabinet Jongos Cina,Negative
"Tomohon juga merupakan pusat pembelajaran agama Kristen dan Katolik. Ada tempat khusus untuk berdoa dan meditasi yang disebut Bukit Kasih, sebuah tempat suci yang indah dan tenang. #TomohonInternationalFlowerFestival\n\nN'",Positive
RT USER: lanjut sambungannya.\nAsu nih bocah URL,Negative
"Pernyataan saya tentang makam di tanah Palestina, hanya menekankan bahwasanya tidak ada perselihan umat Islam dan Kristen Karna Islam juga memuliakan Isa as krn nabi Islam.'",Positive
"Bu, di perpustakaan orangnya pada bisu ya bu? | hah? Emang knp nak? | tuh mereka pada diem2an, ga ada yg bersuara | -__- ,'",Positive
BURUNG DARA TERBANG KE HULU ; BURUNG NURI SAYAPNYA BIRU ; SATUKAN SUARA SAAT PEMILU ; KITA PILIH PRESIDEN BARU ; ; MANCING IKAN DI WAKTU MALAM; IKAN DIMAKAN DICAMPUR KETAN ; AYO MENANGKAN PARTAI ISLAM ; KITA HANCURKAN PARTAI SYETAN ! ; ; ALLAHU AKBAR..,Negative
Wisata Budaya di Kabupaten Sukabumi..,Positive
USER Guard warga asing ke bii?',Positive
USER Mas tolong sebutkan kitab suci agama mana yg fiksi?,Positive
Bangsad salah. Gilak.',Negative
"Berita lokal untuk yang tinggal di margonda dan sekitarnya.\n\nDitemukan tas mencurigakan di barel, diduga berisi bom. Jalan ditutup.\n\nKomentar temen gue, ""ngapain ngebom barel. Isinya juga anak kosan yang makan mie instan semua.""\n\nFyi, doi kesel soa",Positive
benderang bahwa pemerintah Jokowi diktator,Positive
Sementara panjang perjalananmu kelak. Terlambat muncul ditelaga-telaga bisu bola matamu. Kau menjerit.',Positive
USER aku nyimengnya masih cupu tapi ya kak senior ampuun',Negative
buta hati bukan buta mata okay',Positive
"Su Pin siswi SD Katolik Karya Yosef, 1978-1984, istrinya Ronaldo Pardede yang sah.'",Positive
"RT USER: Bunda yg pro bnget goyang kontol suaminya,private bun\xf0\x9f\x98\x82g bosen liat vid ini\xf0\x9f\x98\x8d trus kasih RT biar vera bisa liat trus\xf0\x9f\x98\x8d\n\nhtt\xe2\x80\xa6'",Negative
USER Wah kesempatan neh langsung deh dimanfaatin buat pencitraaan oleh rezim..\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',Positive
"Wahai para Hakim Lucu, Ada makanan bergizi nih,..sisa dari Local Standup Day kemaren USER ; ;",Positive
"USER Wah ide bagus noon, next saya kasih bunga bangkai ya. Pemberian gak boleh ditolak! :)'",Positive
USER USER anaknya pak soemitro begawan ekonomi ...tapi pola pikir admin gerinda ini kayak ngak pernah kuliah...jangan sampai kau fakir ilmu...,Positive
Aku tak tahu kenape aku sanggup sangat pergi topup and langgan internet \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f. Pantat betul',Negative
Kalau udah uts analisa struktur temen-temen berubah jadi budek dan pura-pura bolot.',Negative
"USER Apa benar, megang eek bisa nahan batu?'",Positive
5 Ragam Seni dalam Budaya Batak Toba,Positive
Halo Selamat siang buat kalian yang tinggal di seputaran seminyak dapatkan product kita di USER Jl.Kunti street1 Seminyak',Positive
Yeeee...; Indonesia hebat.; Indonesia dibanjiri Tenaga Kerja Asing.; ; Pk Jokowi Kren deh. Top banget. Kalau bisa Presiden Seumur Hidup.???; Ayo dukung Jokowi Balik Ke Solo; #2019GantiPresiden,Positive
USER Cebong mana ngerti',Negative
RT USER: #SANGE_AAAAAAAAAAH #memek gatel say pngen disruduk kontol ! Retweet sayang yg pngen #ngentot \xf0\x9f\x98\x98 kuy... URL,Negative
"Melawan roma kamis dinihari nanti, liat latihan hari ini Busquets udah latihan lagi, semoga nanti bisa maen. Gembel banget kemaren gada busi.'",Negative
USER apaan? mau nete?',Negative
"Pesona budaya suku Kamoro #Papua ð??²ð??¨ rambah wilayah timur #Swiss, Kanton St. Gallen, 10.04.2018 USER USER USER USER",Positive
RT USER: Kontol bengkok\xf0\x9f\x98\x86 URL,Negative
Lengserkan USER presiden lemah,Positive
Keparat bener org macam mantan gue itu',Negative
"Byk lagi isu umat islam yg berlaku. Lgbt dikatakan dosa peribadi. Hatta tu maksiat paling jelas kena cegah sbb kisah kaum nabi luth dh dirakamkan dalam alquran.\n\nPersoalan dia, kita rujuk atau tak alquran dalam kehidupan kita?'",Positive
USER kalau mau kasarnya lagi sih\n\nkakean cocot kowe ki',Negative
USER USER Yang panik itu yang mau ganti presiden tapi g tau calonnya siapa! Ups mungkin karena g bisa berbuat banyak!!!!! Karena dibawah kepemimpinan pak USER banyak koruptor tertangkap!!! Jadi mau ganti presiden!!! Siapa tau bisa di nego!!,Positive
USER USER USER USER USER USER USER USER Assalamu alaikm ibu USER tlng hrp bantuanx u kmi #korbanphkfreeport,Positive
rp haneul bejat suka memekin muka brondong.yang on retweet',Negative
Hooo keliatan mana yg bego sekarang hahaha',Negative
"USER Sa, nama akunnya kok kyk ndak asing ya? Apa cmn prasaanku doang USER'",Positive
USER Dasar buaya!',Negative
USER USER USER USER USER USER Mantap. Pak Presiden Joko Widodo memang jagonya menuntaskan pekerjaan yang mangkrak / tidak pernah dikerjakan oleh mantan presiden sebelumnya dan si gubernur aher. Salam Metal dan 2 perio,Positive
"USER USER USER Kelihatan asbun.. SBY gak pernah dukung jkw tong, demokrat masuk oposisi..waduhh kok tmbh kelihatan ngawur gini gembel warnet yg satu ini.. Hhaaa'",Negative
"USER Jablay sama fwb beda setauku. Jablay sekali pakai(?)\nFwb bisa kapanpun dimanapun(?) and not all about sex thing, duh.'",Positive
USER USER Pdhal yg bikin ambang batas rezim Prihatin.. eh semua salah jokowi \xf0\x9f\x98\xb5',Positive
"USER USER islam nusantara terlalu dipaksakan.. \n\npadahal ngga ada kristen nusantara, katolik nusantara , budha nusantara dan hindu nusantara. \n\ndia rame sendiri..'",Positive
Hai saya hampir mati dalam jamban kerana tergelincir hm',Positive
"Ikuti USER untuk mengetahui informasi terkini mengenai ekonomi, keuangan, perbankan, investasi, saham di Indonesia dan dunia hari ini",Positive
USER Sok ganteng banget si bencong',Negative
terima kasih pak USER kini papua punya wajah baru yg gak meninggalkan budaya mereka tapi pembangunan yg tidak mengabaikan kearifan lokal. #JokowiSayangiPapua,Positive
"Pemerintah Israel adalah golongan Yahudi radikal, berbeda dengan rakyatnya sebagian menginginkan perdamaian.'",Positive
Apa sudah melihat lokasi Muhammad membantai 800 Yahudi sekitar 1400 tahun lalu Bung Lukman?,Positive
"Di wikipedia, orde baru termasuk pemerintahan junta militer kayak pemerintahan myanmar sekarang? B aja. Yg diktator kan cuma jokowi.",Positive
#Info USER Apa aja sih Program Bantuan Pemerintah untuk Perguruan Tinggi Agama Hindu? Cek disini _,Positive
yampun ini rp asing bgt napada :(',Positive
Deklarasi anti hoax dan mendukung pilkada damai,Positive
USER USER USER Ustad ini melihatnya pake pantat',Negative
"Pilkada Jatim nanti, kalau nomer 1 menang kami dapat Mercy dan jika nomer 2 menang kami dapat BMW. Sudah sama-sama berkualitas.",Positive
"Apa yang DS USER buat adalah demi generasi akan datang. Saya tidak mahu anak cucu saya gagal pada masa akan datang, jadi, saya sokong &amp; membantu Kerajaan BN supaya anak cucu saya menikmati hidup yg lebih baik. Inilh impian kita semua. - DS R.S @",Positive
RT USER USER Ya kalo kalian kan jadi jongos nya sipit,Negative
gua emang menel\ngua emang suka modus sana sini\ngua emang brengsek\ngua emang bukan anak baik-baik\n\ntapi \n\nsekali gua sayang tolong jgn anggap itu semua palsu\nsekali gua serius tolong jgn permainin hati gua',Negative
"dengar anak belasan tahun bicara tentang banyak TUHAN, ada TUHAN orang islam,TUHAN orang kristen,TUHAN orang budha,TUHAN orang hindu,TUHAN orang kejawen,cuma TUHAN orang (nit...aku sensor)katanya yng suka menghukum,membedakan.CERDAS ANAK INI KUPIKIR'",Positive
Ulama dan Habaib se-Bogor Peringati Isra Mikraj - Poskotanews,Positive
USER TAU AH NGOMONG AJA SAMA ONTA!',Negative
RT USER: Tinggalkan bicara tentang PKI mari kita fokus ke 2019 ganti Presiden jadikan USER sebagai the next Presiden,Positive
USER USER Memang benar!!! Kami ingin ganti!! Mudah2n ekonomi makin membaik gk sesulit sekarang!!!,Positive
"RT USER: Jujur, smpe sekarang gw kaga pernah ngentot sama cowo, kissing/apapun. Kalopun pernah gw baru 2x ngewe sama cewe (gw bisex)\xe2\x80\xa6'",Negative
turunkan Jokowi. Rezim ini sudah mengorbankan Ahok,Positive
when barzan nanyain isi spt pdhl praktikum spt gua belum nyobain ngisi baru dasar hukum dan lain2. jadi ketara bego',Negative
"Ternyata..; ; #hey2 ; ; Dibalik insiden heli jatuh, ternyata PT IMIP Pekerjakan 3000 WNA Cina;",Positive
"HEBOH... Anies Bertemu Erdogan, Warganet: Gubernur rasa Presiden, Tidak Plonga Plongo; ; ""Ngobrolnya Nyambung. Gak Plonga Plongo. Pemimpin Muslim ya begini,"" komen warganet.; ; ð???ð???; ;",Positive
USER USER Di Katolik bisa dibatalkan kok pernikahannya tentunya dengan alasan2',Positive
Raja yang tidak jujur itu seperti joki yang menunggangi buaya. Untuk selamat dan dia tidak boleh turun',Positive
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,Positive
"USER USER USER USER Memang nya Iran tdk berkerja sama dg Negara"" Komunis. *TepokJidat lagi\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82'",Positive
USER USER USER USER USER USER USER USER USER USER Hoax Bani cebong',Negative
"USER Sebab johor antara negeri paling pesat pembangunan, penting untuk ada golongan professional yang menjaga agama.",Positive
"USER Pak USER walau belum semua tahu Quran kitab sampah, Anda masih berani buat lomba nyanyi Quran?",Negative
Mumpung lagi bulan September. GANYANG PKI!!!!!!!!!!!!!!!!,Positive
"bocah pada ngajak nongton galapremiere, ane tanye pelmnye ape? 'Pengabdi Setan' kate doi pade~\n\nane kire dikibulin; egataunye beneran dong brengsek! :)) URL",Negative
"USER Allahuakbar itu gue masih main taplak gunung:') btw ayo temenannn""",Positive
"USER Salah ikut korg la. Knape bile berkaitan ngan gay ja smua org nak jadi ""alim""? Penyelamat? ""Saviour""? Padahal korg smua org asing? Tngok gay ja trus kata ""truk"". Gay ialah ciri sahaja. Tengok pada individu. Klau dia rakyat yg baik, biarkan la",Positive
"USER USER USER USER USER USER Ini pula alasan mengapa Gereja Katolik tdk mudah disitir seenak udel umatnya.\nSy ingat, pernah di sebuah Gereja Katolik di Flores, sekelompok umat diusir dr dlm Gereja karena keteribata",Positive
USER USER USER USER Roslan saari tu yg murtad dn kapir\xf0\x9f\x91\x8dmenyokong ton.mamak melalak dgn ct kasim sbelom pru14 req lesen lgbt\xf0\x9f\x98\x94terang\xc2\xb2 bahalol tu menolak Allah.!',Negative
"[Fakta Ve]Ve dulu punya anjing, namanya juno dan bruno. Tapi sekarang karena udah besar, jadi anjingnya dipindahin ke rumah kakeknya.'",Positive
USER ogah yg ngajak plh jkw pasti idiot',Negative
"USER Prabowo yang memaksakan diri, sama pendukung ultrasnya. DIkirain opsi presiden cuma prabowo doang kali",Positive
USER USER Ceramah ustad tae onta.',Negative
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",Negative
"USER Hahaha mcm babi ayat, pandai tak berotak'",Negative
Pertukaran budaya,Positive
USER USER USER cebong kan otak nya cuma sak upil',Negative
"USER USER USER Hei..Ahok sudah jauh2 hari mikirin ini, bukan kayak Wan Abut yg cetek mikirnya, merk islam tp otak kapir.'",Negative
"Belum juga lewat seminggu, eh sudah mampus aja layanan USER. Kalo sudah gak mampu bikin layanan, bilang aja. \nKualitasnya KACRUT!!!'",Negative
Ditjen Bimas Islam Kementerian Agama RI; Health and Financial Management Training.; ; Bismillah....; ; #StrategicActionTeam; #Aksinesia; #IslamicWealthManagement; #FinancialPlanningSyariah ; #SyariahWealthCoach â?? at HIS Grand Savero,Positive
sadar gak se lepas sepatu tp masi kaos kaki iku bau banget woiii yaampun kyk ambu silit',Negative
USER siapa bilang harga minyak dunia naik... kalau nga bisa jadi Dirut Pertamina mundur saja USER URL,Positive
"USER Maling teriak maling, Kafir teriak kafir, biaSanya orang2 kayak gtu waktu lahirnya cmpur TAI...!'",Negative
"wah, baru tau si cantik itu pengagum tengkuzul, kacrut dah :))'",Negative
"USER USER Emang kamu yakin gak pernah menghujat?\nJangan munafik lah Non,'",Negative
RT USER: Satu lagi tim sukses Jokowi dapat jatah. Pertamina bakal makin rugi... URL,Positive
"USER USER USER Katanya pintar gw tanya gugat nya gimana malah ngataian cebong , ngeles kayak bajaj aza loe kata. Menguggat itu gampang .... Hahahaha'",Negative
USER USER tul..elok le tu yahudi ckp pekan..hahahaha',Positive
"""...Demikianlah Allah membiarkan sesat orang kafir"" (QS 40 : 74)'",Positive
"USER USER USER USER USER USER USER USER Yaaah:(( jangan mau deh naik titit sen, mual:('",Negative
USER USER USER USER Kasih tau sama si USER ah... Supaya jangan banyak cocot yang tidak berguna.',Negative
PEMBUNUHAN karakter MayJen Kivlan Zein & USER oleh Rezim yg jelas antek Komunis saat ini bisa diwakili dari Ftho diatas...,Positive
eh lebih shock lagi sama indo inggris edan!!! indonesianya kentel gw',Negative
Kisah nyata malin kundang : 100% daftar nama yang mengucapkan kalimat (JANGAN NGEWE DENGAN WANITA) itu tuh yaitu :; 1. KEMENTERIAN AGAMA; 2. CIPUTAT; 3. CIPUTAT RAYA; 4. BENDI NEGARA; 5. BENDI KEPOLISIAN; 6. BENDI TAHANAN; 7. SKCK; 8. DARI SABANG SAMPAI MA,Negative
"Kalau lgbt masuk dalam kategori rasict saya gak perduli , karna ini beda permasalahan!!!! Yang ngedukung berpikir lagi lah punya otak kan !!!! URL",Positive
GANYANG PKI BESERTA ANTEK-ANTEKNYA !,Positive
deklarasi pilkada 2018 aman dan anti hoax warga pejarakan jabon,Positive
